State,Week,Value
Alabama,07/01/2000,4
Alabama,14/01/2000,3
Alabama,21/01/2000,2
Alabama,28/01/2000,2
Alabama,04/02/2000,1
Alabama,11/02/2000,1
Alabama,18/02/2000,0
Alabama,25/02/2000,1
Alabama,03/03/2000,2
Alabama,10/03/2000,2
Alabama,17/03/2000,0
Alabama,24/03/2000,0
Alabama,31/03/2000,0
Alabama,07/04/2000,0
Alabama,14/04/2000,0
Alabama,20/04/2000,3
Alabama,28/04/2000,3
Alabama,05/05/2000,5
Alabama,12/05/2000,4
Alabama,19/05/2000,4
Alabama,26/05/2000,3
Alabama,02/06/2000,3
Alabama,09/06/2000,3
Alabama,16/06/2000,3
Alabama,23/06/2000,6
Alabama,30/06/2000,6
Alabama,07/07/2000,6
Alabama,14/07/2000,6
Alabama,21/07/2000,4
Alabama,28/07/2000,4
Alabama,04/08/2000,5
Alabama,11/08/2000,6
Alabama,18/08/2000,6
Alabama,25/08/2000,6
Alabama,01/09/2000,6
Alabama,08/09/2000,5
Alabama,15/09/2000,5
Alabama,22/09/2000,5
Alabama,29/09/2000,6
Alabama,06/10/2000,6
Alabama,13/10/2000,6
Alabama,20/10/2000,7
Alabama,27/10/2000,8
Alabama,03/11/2000,8
Alabama,10/11/2000,8
Alabama,17/11/2000,7
Alabama,22/11/2000,6
Alabama,01/12/2000,6
Alabama,08/12/2000,6
Alabama,15/12/2000,6
Alabama,21/12/2000,6
Alabama,29/12/2000,6
Alabama,05/01/2001,6
Alabama,12/01/2001,7
Alabama,19/01/2001,7
Alabama,26/01/2001,6
Alabama,02/02/2001,6
Alabama,09/02/2001,6
Alabama,16/02/2001,6
Alabama,23/02/2001,6
Alabama,02/03/2001,6
Alabama,09/03/2001,6
Alabama,16/03/2001,5
Alabama,23/03/2001,6
Alabama,30/03/2001,6
Alabama,06/04/2001,5
Alabama,12/04/2001,5
Alabama,20/04/2001,5
Alabama,27/04/2001,5
Alabama,04/05/2001,5
Alabama,11/05/2001,5
Alabama,18/05/2001,5
Alabama,25/05/2001,5
Alabama,01/06/2001,4
Alabama,08/06/2001,4
Alabama,15/06/2001,3
Alabama,22/06/2001,2
Alabama,29/06/2001,2
